"Tahun","Minggu","Negeri","Daerah/Zon/PBT","Lokaliti","Jumlah Kes Terkumpul","Tempoh Wabak Berlaku (Hari)","latitude","longitude"
2015,7,"Perak","Kinta","K/B Pasir Pinji",5,31,2.975147,101.783915
2015,7,"Perak","Kinta","Tmn Desa Kencana",4,32,3.113117,101.815673
2015,7,"Perak","Kinta ","Tmn Pegoh",8,32,3.048069,101.639553
2015,7,"Perak","Kinta","Kg Bercham",9,31,3.198303,101.599919
2015,7,"Perak ","Kinta","Tmn Rapat Setia Baru",71,90,3.052035,101.643996
2015,7,"Perak ","Kinta","Pekan Tg Tualang",18,68,3.128331,101.618127
2015,7,"Sabah","Kota Kinabalu","Taman Fu Yen Ph.5",42,46,3.074107,101.492219
2015,7,"Sabah","Kota Kinabalu","Kg. Sembulan Baru",24,45,3.074107,101.492219
2015,7,"Sabah","Kota Kinabalu","Kg. Sembulan Tengah",16,44,3.074107,101.492219
2015,7,"Selangor","Petaling","Du Ss 22 (2)",131,246,3.155076,101.593722
2015,7,"Selangor","Petaling","Seksyen 7 (Flat A : Blok 1 - 12, Blok 38 - 43)",104,200,3.089795,101.647281
2015,7,"Selangor","Petaling","Seksyen 7 (Pusat Komersial A : Jln Aa 7/Aa - Ac 7/Ac, T 7/T - Z 7/Z)",250,186,3.113117,101.815673
2015,7,"Selangor","Petaling","Seksyen 7 ( Flat B : Blok 13 - 37 )",41,173,3.060047,101.584687
2015,7,"Selangor","Hulu Langat","Jalan 3/A-R Seksyen 3 Bandar Sri Putra",82,164,3.188612,101.604747
2015,7,"Selangor","Petaling","Usj 2/5",39,161,3.13281,101.748025
2015,7,"Selangor","Petaling","Kd Pju 5 Seksyen 5 Sepah Puteri ( Jln 5/1-5/19)",35,151,3.114994,101.811318
